0.07541,NaN,NaN,NaN,NaN,NaN,NaN
0.78409,NaN,NaN,NaN,NaN,NaN,NaN
0.76679,NaN,NaN,NaN,NaN,NaN,NaN
0.05,NaN,NaN,NaN,NaN,NaN,NaN
0.97,NaN,NaN,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,NaN,NaN
0.015,10,0.01,1e-05,NaN,NaN,NaN
0.015,6,0.01,1e-05,NaN,NaN,NaN
0.015,9,0.01,1e-05,NaN,NaN,NaN
0.03,4,0.04,1e-05,NaN,NaN,NaN
0.015,9,0.01,1e-05,NaN,NaN,NaN
6.5e-05,25,1.01,1,25,0.3,0.2
6.5e-05,25,1,1,25,0.3,0.2
4e-05,25,1,1,25,0.3,0.2
3e-05,12.5,2,1,50,0.3,0.4
4.1e-05,25,1,1,50,0.3,0.2
2.5e-05,12.5,2.5,1,100,0.3,0.4
3e-05,25,1,1,100,0.3,0.2
3e-05,25,1,1,100,0.3,0.2
2.75e-05,12.5,1.5,1,5,0.45,0.4
2.75e-05,25,1,1,5,0.45,0.35
1.5e-05,20,1.25,1,999,0.45,0.55
2.5e-05,20,1.5,1,999,0.45,0.55
3500,NaN,NaN,NaN,NaN,NaN,NaN
0.3,NaN,NaN,NaN,NaN,NaN,NaN
1.25,NaN,NaN,NaN,NaN,NaN,NaN
0.0125,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN,NaN
0.95,NaN,NaN,NaN,NaN,NaN,NaN
0.975,NaN,NaN,NaN,NaN,NaN,NaN
-5,NaN,NaN,NaN,NaN,NaN,NaN
0.7,NaN,NaN,NaN,NaN,NaN,NaN
0.7,NaN,NaN,NaN,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,NaN,NaN
1e-05,NaN,NaN,NaN,NaN,NaN,NaN
0.45,NaN,NaN,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,NaN,NaN
0.037716,NaN,NaN,NaN,NaN,NaN,NaN
7e-05,NaN,NaN,NaN,NaN,NaN,NaN
0.008,NaN,NaN,NaN,NaN,NaN,NaN
0.03,NaN,NaN,NaN,NaN,NaN,NaN
3e-05,NaN,NaN,NaN,NaN,NaN,NaN
0.073,NaN,NaN,NaN,NaN,NaN,NaN
14,NaN,NaN,NaN,NaN,NaN,NaN
240,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN
0.29013,NaN,NaN,NaN,NaN,NaN,NaN
0.094006,NaN,NaN,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,NaN,NaN
274.12,NaN,NaN,NaN,NaN,NaN,NaN
70.578,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,NaN
232.07,NaN,NaN,NaN,NaN,NaN,NaN
